DT,Quote,DJI_LastPrice,IXIC_LastPrice,DJI_Change,IXIC_Change,MYRUSD_PerUnit,CLF_LastPrice,GCF_LastPrice,ZGF_LastPrice,CLF_Change,GCF_Change,ZGF_Change,CLF_Volume,GCF_Volume,MarketCap,LastPrice,PE,DY,ROE,Open,Chg,Volume,BidVolume,AskVolume,Polarity,UP
2019-03-04,AIRASIA,0.46912505493762413,0.2626453625791812,0.5918718015763326,0.7080449262113099,0.2850386841826937,0.0,0.4733606557377035,0.35336538461538103,0.748062015503876,0.26174496644295303,0.10980392156862746,1.0,0.45311483327407986,0.8639455782312925,0.8636363636363635,0.8630136986301363,0.04744525547445263,0.0,0.7692307692307694,0.7727272727272728,0.9625415444770283,0.2506369853828617,0.13030907278165504,0.0,False
2019-03-05,AIRASIA,0.292792183643803,0.21084833668742095,0.3321006561826853,0.5828000522397806,0.3121526262841104,0.0,0.4733606557377035,0.35336538461538103,0.748062015503876,0.26174496644295303,0.10980392156862746,1.0,0.45311483327407986,0.8183673469387756,0.818181818181818,0.8219178082191784,0.06326034063260336,0.0,0.8974358974358972,0.36363636363636365,0.6193157380254154,0.19176612578785035,0.00448654037886341,0.21087845372320654,True
2019-03-06,AIRASIA,0.2817877548260603,0.20921406285876304,0.45325165290799746,0.6369335248791955,0.36060325548075817,0.0,0.4733606557377035,0.35336538461538103,0.748062015503876,0.26174496644295303,0.10980392156862746,1.0,0.45311483327407986,0.8414965986394558,0.8409090909090903,0.8356164383561643,0.054744525547445175,0.0,0.8974358974358972,0.5,0.4284574780058651,0.2246211613249296,0.21415752741774677,0.2408210465452443,True
2019-03-07,AIRASIA,0.16923323979850535,0.11407501451937492,0.4236175961550434,0.41089852422619827,0.3910598100239368,0.0,0.4733606557377035,0.35336538461538103,0.748062015503876,0.26174496644295303,0.10980392156862746,1.0,0.45311483327407986,0.9095238095238095,0.909090909090909,0.9041095890410955,0.030413625304136258,0.0,0.8974358974358972,0.5909090909090909,0.8902209188660801,0.15689955746278664,0.0,0.31871308801057285,True
2019-03-08,AIRASIA,0.0,0.0,0.34011928330407276,0.3651234164816508,0.35908346370977523,0.0,0.4733606557377035,0.35336538461538103,0.748062015503876,0.26174496644295303,0.10980392156862746,1.0,0.45311483327407986,1.0,1.0,1.0,0.0,0.0,1.0,0.6363636363636365,0.6303421309872923,0.5020785838809173,0.20378863409770687,0.31871308801057285,False
2019-03-11,AIRASIA,0.06882416579329956,0.22902794473183002,0.46962509182822204,0.7485307561708241,0.37242559419204974,0.0,0.4733606557377035,0.35336538461538103,0.748062015503876,0.26174496644295303,0.10980392156862746,1.0,0.45311483327407986,0.7727891156462585,0.7727272727272725,0.7671232876712331,0.07907542579075409,0.0,0.7948717948717945,0.5454545454545455,0.3587800586510264,0.43140673192973045,0.010169491525423728,0.21087845372320654,False
2019-03-12,AIRASIA,0.06882416579329956,0.22902794473183002,0.46962509182822204,0.7485307561708241,0.32757434959765075,0.0,0.4733606557377035,0.35336538461538103,0.748062015503876,0.26174496644295303,0.10980392156862746,1.0,0.45311483327407986,0.7047619047619048,0.7045454545454547,0.6986301369863007,0.6374695863746958,0.0,0.8205128205128208,0.31818181818181823,0.19971847507331378,0.24647981762102722,0.00897308075772682,0.21087845372320654,True
2019-03-13,AIRASIA,0.06882416579329956,0.22902794473183002,0.46962509182822204,0.7485307561708241,0.3692490079645709,0.0,0.4733606557377035,0.35336538461538103,0.748062015503876,0.26174496644295303,0.10980392156862746,1.0,0.45311483327407986,0.8183673469387756,0.818181818181818,0.8219178082191784,0.586374695863747,0.0,0.8205128205128208,0.6818181818181819,0.4679960899315738,0.036609896741316886,0.26430707876370885,0.49510593482839793,False
2019-03-14,AIRASIA,0.06882416579329956,0.22902794473183002,0.46962509182822204,0.7485307561708241,0.3917295931367327,0.0,0.4733606557377035,0.35336538461538103,0.748062015503876,0.26174496644295303,0.10980392156862746,1.0,0.45311483327407986,0.7503401360544217,0.7499999999999992,0.7534246575342459,0.6167883211678833,0.0,0.8974358974358972,0.31818181818181823,0.25757184750733136,0.13343167493630145,0.02193419740777667,0.14694585553215217,True
2019-03-15,AIRASIA,0.20006592514959867,0.28289144910114905,0.5982095053104728,0.6000718296983153,0.32191625673674523,0.19307450157397651,0.7295081967213103,0.39182692307692285,0.5116279069767441,0.5604026845637584,0.07058823529411767,0.12097749503892138,0.07808716300971981,0.8183673469387756,0.818181818181818,0.8219178082191784,0.586374695863747,0.0,0.8461538461538459,0.5909090909090909,0.5227057673509287,0.012069196727906665,0.07088733798604187,0.8435138148928262,False
